conversation_id,sampling_group,candidate_cluster,candidate_second_cluster,candidate_intent,candidate_domain,candidate_sub_intent,candidate_confidence,candidate_distance_best,candidate_ambiguity_margin,difficulty_score,n_messages,full_conversation_text,human_domain,human_intent,human_sub_intent,annotation_status,annotation_outcome,reviewer_notes,human_intent_r2,second_pass
1002430,representative,1,3,Social acknowledgement,Social,Thanks or casual mention,medium,0.5239,0.0043,0.3787,2,"CUSTOMER:
S/O to the lady at @AmericanAir for moving seats around for me to sit next to @43253! We didn’t even have to ask!! #ORDgateK20

AGENT:
@357294 We have some of the best around when it comes to helping our customers! #AATeam",Seating and fares,Seats and fares,"Seat assignment, cabin, upgrade, or fare/fee issue",reviewed,CHANGE_INTENT,"Inquiry or complaint regarding seating arrangements, seat assignments, cabin upgrades, or fare rules.",,False
1036120,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.4024,0.0359,0.1653,2,"CUSTOMER:
@AmericanAir how many flights have I missed or been delayed because of waiting on a crew member? TOO MANY!

AGENT:
@365084 We know that delays are no fun, and we sincerely apologize that this has been your experience.",Flight,Flight delay,"Late departure, arrival, gate, or tarmac delay",reviewed,ACCEPT,"Dominant issue is late departure, arrival, or tarmac/gate wait with flight still operating.",,False
1048369,representative,2,4,Disruption recovery,Flight,"Cancellation, rebooking, missed connection, or compensation",high,0.5065,0.0072,0.1938,2,"CUSTOMER:
@367778 (1/2) why can't airline passengers who have gone through pre-clearance get off the plane at an unintended emergency stop? @367778 (2/2) @AmericanAir 209 to Chicago diverted to Minneapolis. All passengers went through pre-clearance in Dublin but told to stay on plane.

AGENT:
@367777 We're sorry for the extra travel time, Taylor. We're working to have you wheels up again ASAP.",Flight,Disruption recovery,"Cancellation, missed connection, diversion, or rebooking recovery",reviewed,ACCEPT,"Itinerary disruption involving cancellation, missed connection, diversion, or rebooking.",,False
1077591,representative,4,2,Flight delay,Flight,"Late departure, arrival, gate, or tarmac wait",high,0.3226,0.0786,0.2,10,"CUSTOMER:
3.5 hour delay, right when we get to the runway, the plane has to go back to the gate because of “issues”. @AmericanAir you suck ass✈️

AGENT:
@374215 Our team does all possible to avoid delays and we're so sorry your flight has been affected today.

CUSTOMER:
@AmericanAir Now deplaning with no guidance what’s so ever. But hey your app says the flight is now rescheduled for 6:30am the next day. That makes sense

AGENT:
@374215 We're happy to take a peek for you. Please DM your record locator.

CUSTOMER:
@AmericanAir Sent

AGENT:
@374215 Thanks, we're taking a look now!

CUSTOMER:
@AmericanAir Now waiting in this line to figure out what is going on, manned by 2 people. Can’t even get our checked bags back https://t.co/129NKO3IRX

AGENT:
@374215 Our team's working as quickly as possible to assist all customers. We appreciate your patience.

CUSTOMER:
@AmericanAir After a 13.5hr delay, a cancellation while sleeping, fighting to get on to another flight, now waiting for bags that are no where in sight https://t.co/ymdRQR7EVy

AGENT:
@374215 We're very sorry for the wait. They'll start rolling soon.",Baggage,Baggage issues,"Lost, delayed, damaged, or mishandled luggage",reviewed,CHANGE_INTENT,"Customer inquiry/complaint specifically concerns baggage handling, delivery, fees, or damage.",,False
1083452,representative,0,9,Positive experience,Experience,Flight or crew praise,high,0.5052,0.0501,0.1523,2,"CUSTOMER:
Hoping for MIA-&gt;JFK on Monday to be on time. I'm looking at you @AmericanAir

AGENT:
@291007 We can't wait to see you! Have a fabulous weekend.",Experience,Positive experience,"Praise or compliments for crew, service, or flight",reviewed,ACCEPT,Candidate intent 'Positive experience' is coherent with the conversation context.,,False
1090077,representative,8,5,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.4247,0.088,0.1667,5,"CUSTOMER:
How does @AmericanAir stay in biz? Planes are awful, 1st class is worse than @JetBlue coach &amp; cust. service is embarrassing.  Never again.

AGENT:
@377185 This isn't the impression we want to give. We're making frequent updates to our flights and will have the most modern fleet by 2018.

CUSTOMER:
@AmericanAir Are you hiring an entirely new staff as well; because every employee I’ve encountered has been downright rude.

AGENT:
@377185 Every day our team provides kind and helpful service. We're sorry to hear this wasn't your experience.

CUSTOMER:
@AmericanAir Tell that to this guy. https://t.co/FbpFyIeQVe",Customer service,Service complaint,"Complaint regarding staff, agent support, hold time, or service quality",reviewed,CHANGE_INTENT,"Complaint directed at support responsiveness, customer service systems, staff conduct, or app/system errors.",,True
1090084,representative,9,5,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.6024,0.0114,0.2642,2,"CUSTOMER:
@AmericanAir If I made a reservation on the AA website, why don’t I have the option to change it online?

AGENT:
@377187 Some changes can be made online. Let's meet in DMs and discuss the change you're interested in making.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
1091650,representative,9,5,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.5538,0.0242,0.2592,2,"CUSTOMER:
@AmericanAir why does ogden Utah not show up as a place I can fly?

AGENT:
@167956 That's because we don't fly to Ogden but the closest airport that we service is in Salt Lake City.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,True
1098047,representative,9,4,Flight information,Travel information,"Flight status, policy, route, schedule, or general question",high,0.4838,0.0275,0.176,2,"CUSTOMER:
First time waved from landing and landed at alternate airport @AmericanAir wonder what rest of day will be.

AGENT:
@379101 Please let us know if we can help in someway via DM.",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,ACCEPT,Candidate intent 'Flight information' is coherent with the conversation context.,,True
1122364,representative,8,7,General dissatisfaction,Customer service,Broad negative experience without one dominant issue,medium,0.6917,0.0045,0.47,2,"CUSTOMER:
Who has had a worse year, the atlanta falcons or @AmericanAir? #neverflyamerican #thankgodforcoffee

AGENT:
@382640 How can we help BJ?",Travel information,Flight information,"Inquiry about schedule, flight status, policy, or travel rules",reviewed,CHANGE_INTENT,"Customer asks about flight schedule, status, travel rules, airport procedures, or general policy.",,False
