message_id,conversation_id,coarse_cluster,sampling_stratum,message_text,conversation_context,proposed_intent,confidence,competing_label,needs_review,secondary_issue_note,evidence_rationale,hard_negative_pair,language,candidate_intent,ambiguous,centroid_margin,nearest_other_intent
1013269::cust0::1013269,1013269,9,random,Shoutout to [MENTION] for great customer svc on the phone and at kiosk. Sorry I can’t get my life together today.,"CUSTOMER: Shoutout to [MENTION] for great customer svc on the phone and at kiosk. Sorry I can’t get my life together today.
AGENT: [MENTION] We love when you have a great experience with our #AATeam, Whitney!",positive_feedback_praise,high,,True,,"Customer provides specific praise to staff and expresses satisfaction, no request.",,en,Customer Service,True,0.0308,service_failure_complaint
1013272::cust1::1013271,1013272,8,non_actionable,[MENTION] thanks,"CUSTOMER: [MENTION] can you tell me which terminal I depart PEK-ORD AA186 in 12 hours? Thanks
AGENT: [MENTION] You'll be departing from Terminal 2, David. See you soon!
CUSTOMER: [MENTION] thanks
AGENT: [MENTION] You bet.",other_acknowledgement_thanks,high,,True,,"Customer sends a bare 'thanks' to the agent, no request or content.",,en,No Feedback,True,0.1665,other_non_actionable
1028505::cust0::1028505,1028505,2,known_error,At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL],"CUSTOMER: At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL]
AGENT: [MENTION] We're sorry for the wait, Eric. The TSA will have you on your way as soon as possible.
CUSTOMER: [MENTION] That didn’t really answer my question
AGENT: [MENTION] Our best bet is a lot people were traveling that day. In this case, TSA would be better suited to answer your question.",flight_status_inquiry,high,,True,,"Customer asks about the terminal for a specific flight, seeking schedule information.",,en,Flight Delay,True,0.0329,service_failure_complaint
1029067::cust1::1029065,1029067,0,boundary,[MENTION] Lol yea hopefully the return is much better because today was most certainly not a pleasant experience.,"CUSTOMER: The last 24hrs: mdw-&gt;atl-&gt;dfw-&gt;phx-&gt;slc! I’ve officially lost sense of time for today. I’m in a time continuum, thanks [MENTION] !! ✈️😫
AGENT: [MENTION] It was our pleasure to have you fly with us today. Time to chill for a while and we look forward to seeing you on the return!
CUSTOMER: [MENTION] Lol yea hopefully the return is much better because today was most certainly not a pleasant experience.
AGENT: [MENTION] We'll do our best to make sure your return trip goes well, Marlon. Thanks for hanging in there with us today.",general_dissatisfaction_venting,high,flight_status_inquiry,True,flight_status_inquiry,"Customer expresses dissatisfaction with their travel experience, venting about multiple issues without a specific request.",delay_vs_status,en,General Query,True,0.0381,refund_request
1032851::cust0::1032851,1032851,0,central,[MENTION] AA 2194 10/22/17 DFW-SJC. Thank you Nannette &amp; Laura. Outstanding service. They’re the reason why I re-qualify for EP each year,"CUSTOMER: [MENTION] AA 2194 10/22/17 DFW-SJC. Thank you Nannette &amp; Laura. Outstanding service. They’re the reason why I re-qualify for EP each year
AGENT: [MENTION] We'd love to thank Nannette and Laura for their outstanding service, Adam. Where did you get their help from? #AATeam
CUSTOMER: [MENTION] I was on their flight last night. AA2194 from DFW-SJC seat 4E
AGENT: [MENTION] Awesome! We'll be sure to pass along these fabulous kudos.",positive_feedback_praise,high,,True,,"Customer provides specific praise to staff and expresses satisfaction, no request.",,en,General Query,True,0.0581,other_non_actionable
104342::cust23::2959672,104342,11,central,"[MENTION] [MENTION] [MENTION] [MENTION] I called them yesterday to ask this very same question and was told that “flights can be cancelled as late as when you’re on the plane, so there’s no way of knowing. We will schedule you for the next available flight should yours be cancelled.” Super unhelpful.","AGENT: Yaasss. Your travels just got sweeter… like maple syrup sweet!😉 Starting 12/4, book YYC or YVR direct from ORD bc YNOT? [URL] [URL]
CUSTOMER: [MENTION] Trying out millennial speak? Forgot to write that it’s lit, fam
AGENT: [MENTION] TBH, you're on fleek fam...
CUSTOMER: [MENTION] I can’t even..... you had me at yaassss 😂😂😂🤯
AGENT: [MENTION] Perf, did we just become baes?
CUSTOMER: [MENTION] Bae ASF 🙏
AGENT: [MENTION] There you go again with... anotha one. #majorkeyalert ❤️
CUSTOMER: [MENTION] [MENTION] [URL]
CUSTOMER: [MENTION] Vancouver is one of my favorite places.
AGENT: [MENTION] We're ready to fly you there, Daniel! Hopefully we'll see you soon.
CUSTOMER: [MENTION] Will my Christmas flight have a pilot?
AGENT: [MENTION] We're working diligently to address the issue and fully expect to avoid cancellations during the holiday season.
CUSTOMER: [MENTION] That's good to hear -- work on filling the Jackson, MS, to NY routes first, via Charlotte [URL]
CUSTOMER: [MENTION] Is this t",other_non_actionable,high,,True,,Customer and agent engage in social chatter with no clear problem or request.,,en,Flight Information,True,-0.1328,missed_connection_rebooking
1049522::cust0::1049522,1049522,7,boundary,After 17 years and 2 million miles. I'm done with [MENTION] . Sold me tix twice for flights they knew were canceled.,"CUSTOMER: After 17 years and 2 million miles. I'm done with [MENTION] . Sold me tix twice for flights they knew were canceled.
AGENT: [MENTION] We do all we can to avoid cancellations, Rachel. Please work with our airport team for all rebooking options.
CUSTOMER: [MENTION] AAL1391 has been canceled all month. I was supposed to pick up supplies to bring 500mm of clean drinking water to VI. Now I can't. [MENTION] Tix for November 8th does nothing to assist those of us working on the ground in disasters. Disappointed that platinum for life is useless.",flight_cancellation,high,flight_status_inquiry,True,flight_status_inquiry,"Customer expresses dissatisfaction with flight cancellations and mentions past issues, seeking assistance.",delay_vs_cancellation,en,Refunds and Charges,True,0.0935,missed_connection_rebooking
1050009::cust2::1050013,1050009,9,random,[MENTION] 25 mins now since economy opened and I am still standing in priority waiting to check in get it together as [MENTION] Now she’s left the counter [MENTION] Time to send her to retirement ! Not a good representing cr for American [MENTION] Really ! [MENTION] Even if priority is not set up surely the main checkin should take those customers first !,"CUSTOMER: [MENTION] another example poor service LgA checked in 20 plus economy before they open the priority desk ! Really ! Sort it out !
AGENT: [MENTION] We always want to have that priority line open and ready for you, Michael. Our apologies for any wait.
CUSTOMER: [MENTION] This is issane and she is rude just spent 5 mins disinfecting the desk while we wait in line [MENTION] Now 30 people checked in at economy and not one from 1st class
AGENT: [MENTION] We're so sorry. We know you're eager to get checked in so you can get through security and relax before your flight.
CUSTOMER: [MENTION] 25 mins now since economy opened and I am still standing in priority waiting to check in get it together as [MENTION] Now she’s left the counter [MENTION] Time to send her to retirement ! Not a good representing cr for American [MENTION] Really ! [MENTION] Even if priority is not set up surely the main checkin should take those customers first !
AGENT: [MENTION] We'll be sure to share this with ou",service_failure_complaint,high,flight_status_inquiry,True,flight_status_inquiry,"Customer complains about the priority check-in line not being managed properly, expressing dissatisfaction with service.",delay_vs_status,en,Customer Service,True,0.0512,flight_delay
1056893::cust0::1056893,1056893,10,random,I had never had baggage issues with any airline like yesterday with [MENTION],"CUSTOMER: I had never had baggage issues with any airline like yesterday with [MENTION]
AGENT: [MENTION] Smooth, easy travel days are always the plan. Sorry to hear your trip had a baggage issue yesterday.",baggage_delayed_lost,high,,True,,"Customer mentions having a baggage issue, seeking assistance.",,en,Baggage,True,0.0388,forced_gate_check_complaint
1059042::cust0::1059042,1059042,6,hard_negative_topup,What gives [MENTION] ? Skip #1 on the list and people with less status upgraded? ... and open seats in first? [URL],"CUSTOMER: What gives [MENTION] ? Skip #1 on the list and people with less status upgraded? ... and open seats in first? [URL]
AGENT: [MENTION] Paul, we never want you to feel this way. Our gate team pages our customers to ensure they're in the boarding area.
CUSTOMER: [MENTION] BS, I was at the gate 1 hour early!
AGENT: [MENTION] Our apology for the error in DEN. We'll share the feedback with our team for further follow-up.
CUSTOMER: [MENTION] I fly twice a week on [MENTION] , I know how the upgrades work. The people I travel with have less status got upgraded days ago.
AGENT: [MENTION] We understand the frustration and will be sure to look more deeply into what happened. We appreciate you working with our team this morning.
CUSTOMER: [MENTION] [MENTION] , how does [MENTION] status compare to [MENTION] ? Executive Platinum apparently doesn’t mean any on [MENTION] !",seat_upgrade_request,high,flight_status_inquiry,True,flight_status_inquiry,"Customer questions the upgrade process, seeking clarification or resolution.",delay_vs_status,en,Seating,True,0.0981,seat_assignment_change
1061749::cust1::1061746,1061749,6,central,"[MENTION] I did, it redirected me to Jetstar &amp; allowed me to book seats. Then on Wed at CHC my son &amp; I didn’t get seats near my wife &amp; daughter","CUSTOMER: [MENTION] Any idea why your site allows to book seats for free on an [MENTION] code share but then I don’t actually get the seats pls?
AGENT: [MENTION] You can use your AA record locator and book the seats directly on [URL] Warren.
CUSTOMER: [MENTION] I did, it redirected me to Jetstar &amp; allowed me to book seats. Then on Wed at CHC my son &amp; I didn’t get seats near my wife &amp; daughter
AGENT: [MENTION] We're sorry for the inconvenience. We double checked and see you have 3 seats together on your return flight.
CUSTOMER: [MENTION] Not your fault guys, we were all seated together on the long haul sections with AA, just separated by Jetstar on the Aus leg [MENTION] Just a shame that [MENTION] want to charge us over $50 each to book our seats prior to 24hr check in even though it’s a codeshare",missed_connection_rebooking,high,flight_status_inquiry,True,flight_status_inquiry,"Customer expresses dissatisfaction with seat allocation on a connecting flight, indicating a need for rebooking.",missed_connection_rebooking_vs_flight_status_inquiry,en,Seating,True,-0.0305,seat_assignment_change
1063345::cust0::1063345,1063345,6,hard_negative_topup,"[MENTION] I paid for upgraded seats, however tray tables were broken. Y can't you refund what I paid? Y should I pay for broken seats","CUSTOMER: [MENTION] I paid for upgraded seats, however tray tables were broken. Y can't you refund what I paid? Y should I pay for broken seats
AGENT: [MENTION] We always want the seat working properly for you. Please send a DM our way with the record locator and flight number.",refund_request,high,seat_upgrade_request,True,seat_upgrade_request,Customer requests a refund for the cost of upgraded seats due to a broken tray table.,refund_request_vs_seat_upgrade_request,en,Seating,True,0.0674,seat_assignment_change
