pair,disagreements,pct_of_disagreements,n_Ax_By,n_Ay_Bx,majority_direction,asymmetry_ratio,adj_A_wins,adj_B_wins,adj_BOTH_WRONG,adj_top_final,adj_top_final_n
flight_status_inquiry <-> other_non_actionable,13,8.0,13,0,other_non_actionable->B:flight_status_inquiry,13.0,9,2,2,other_non_actionable,8
flight_delay <-> missed_connection_rebooking,10,6.1,10,0,missed_connection_rebooking->B:flight_delay,10.0,10,0,0,missed_connection_rebooking,10
other_acknowledgement_thanks <-> positive_feedback_praise,8,4.9,7,1,other_acknowledgement_thanks->B:positive_feedback_praise,7.0,4,4,0,other_acknowledgement_thanks,5
other_non_actionable <-> positive_feedback_praise,8,4.9,5,3,other_non_actionable->B:positive_feedback_praise,1.67,4,4,0,other_non_actionable,5
other_non_actionable <-> seat_assignment_change,7,4.3,7,0,other_non_actionable->B:seat_assignment_change,7.0,5,2,0,other_non_actionable,4
general_dissatisfaction_venting <-> service_failure_complaint,6,3.7,5,1,service_failure_complaint->B:general_dissatisfaction_venting,5.0,4,2,0,service_failure_complaint,5
flight_status_inquiry <-> missed_connection_rebooking,6,3.7,6,0,missed_connection_rebooking->B:flight_status_inquiry,6.0,6,0,0,missed_connection_rebooking,5
general_dissatisfaction_venting <-> other_non_actionable,6,3.7,6,0,other_non_actionable->B:general_dissatisfaction_venting,6.0,1,5,0,general_dissatisfaction_venting,5
flight_delay <-> general_dissatisfaction_venting,6,3.7,6,0,flight_delay->B:general_dissatisfaction_venting,6.0,4,2,0,flight_delay,4
flight_delay <-> flight_status_inquiry,5,3.1,4,1,flight_status_inquiry->B:flight_delay,4.0,4,1,0,flight_status_inquiry,3
other_acknowledgement_thanks <-> other_non_actionable,5,3.1,4,1,other_non_actionable->B:other_acknowledgement_thanks,4.0,1,4,0,other_acknowledgement_thanks,3
change_fee_dispute <-> flight_status_inquiry,4,2.5,4,0,change_fee_dispute->B:flight_status_inquiry,4.0,4,0,0,change_fee_dispute,4
flight_cancellation <-> flight_delay,4,2.5,3,1,flight_cancellation->B:flight_delay,3.0,3,1,0,flight_cancellation,2
flight_status_inquiry <-> positive_feedback_praise,3,1.8,3,0,positive_feedback_praise->B:flight_status_inquiry,3.0,1,2,0,flight_status_inquiry,2
flight_status_inquiry <-> service_failure_complaint,3,1.8,3,0,service_failure_complaint->B:flight_status_inquiry,3.0,3,0,0,service_failure_complaint,3
flight_cancellation <-> flight_status_inquiry,3,1.8,3,0,flight_cancellation->B:flight_status_inquiry,3.0,1,2,0,flight_status_inquiry,2
change_fee_dispute <-> refund_request,3,1.8,2,1,change_fee_dispute->B:refund_request,2.0,3,0,0,change_fee_dispute,2
flight_status_inquiry <-> staff_conduct_complaint,3,1.8,3,0,staff_conduct_complaint->B:flight_status_inquiry,3.0,3,0,0,staff_conduct_complaint,3
general_dissatisfaction_venting <-> refund_request,3,1.8,3,0,refund_request->B:general_dissatisfaction_venting,3.0,2,0,0,refund_request,2
flight_delay <-> forced_gate_check_complaint,2,1.2,2,0,forced_gate_check_complaint->B:flight_delay,2.0,2,0,0,forced_gate_check_complaint,2
flight_status_inquiry <-> other_acknowledgement_thanks,2,1.2,2,0,flight_status_inquiry->B:other_acknowledgement_thanks,2.0,1,1,0,flight_status_inquiry,1
flight_status_inquiry <-> forced_gate_check_complaint,2,1.2,2,0,forced_gate_check_complaint->B:flight_status_inquiry,2.0,2,0,0,forced_gate_check_complaint,2
flight_cancellation <-> general_dissatisfaction_venting,2,1.2,2,0,flight_cancellation->B:general_dissatisfaction_venting,2.0,1,1,0,flight_cancellation,1
flight_delay <-> seat_assignment_change,2,1.2,2,0,seat_assignment_change->B:flight_delay,2.0,2,0,0,seat_assignment_change,2
change_fee_dispute <-> general_dissatisfaction_venting,2,1.2,2,0,change_fee_dispute->B:general_dissatisfaction_venting,2.0,2,0,0,change_fee_dispute,2
change_fee_dispute <-> flight_delay,2,1.2,2,0,change_fee_dispute->B:flight_delay,2.0,2,0,0,forced_gate_check_complaint,1
baggage_delayed_lost <-> flight_delay,2,1.2,2,0,baggage_delayed_lost->B:flight_delay,2.0,2,0,0,baggage_delayed_lost,2
baggage_delayed_lost <-> forced_gate_check_complaint,2,1.2,2,0,forced_gate_check_complaint->B:baggage_delayed_lost,2.0,2,0,0,forced_gate_check_complaint,2
other_non_actionable <-> service_failure_complaint,2,1.2,2,0,other_non_actionable->B:service_failure_complaint,2.0,0,2,0,service_failure_complaint,2
other_non_actionable <-> staff_conduct_complaint,2,1.2,2,0,other_non_actionable->B:staff_conduct_complaint,2.0,0,1,1,staff_conduct_complaint,1
seat_assignment_change <-> service_failure_complaint,2,1.2,2,0,service_failure_complaint->B:seat_assignment_change,2.0,2,0,0,staff_conduct_complaint,1
other_non_actionable <-> refund_request,2,1.2,2,0,other_non_actionable->B:refund_request,2.0,2,0,0,other_non_actionable,2
general_dissatisfaction_venting <-> staff_conduct_complaint,2,1.2,2,0,staff_conduct_complaint->B:general_dissatisfaction_venting,2.0,2,0,0,staff_conduct_complaint,2
flight_status_inquiry <-> seat_assignment_change,2,1.2,2,0,seat_assignment_change->B:flight_status_inquiry,2.0,2,0,0,seat_assignment_change,2
general_dissatisfaction_venting <-> positive_feedback_praise,2,1.2,2,0,positive_feedback_praise->B:general_dissatisfaction_venting,2.0,1,1,0,other_non_actionable,1
flight_delay <-> other_non_actionable,1,0.6,1,0,other_non_actionable->B:flight_delay,1.0,0,0,1,general_dissatisfaction_venting,1
baggage_delayed_lost <-> general_dissatisfaction_venting,1,0.6,1,0,baggage_delayed_lost->B:general_dissatisfaction_venting,1.0,1,0,0,baggage_delayed_lost,1
baggage_damaged <-> baggage_delayed_lost,1,0.6,1,0,baggage_damaged->B:baggage_delayed_lost,1.0,0,1,0,baggage_delayed_lost,1
flight_cancellation <-> missed_connection_rebooking,1,0.6,1,0,missed_connection_rebooking->B:flight_cancellation,1.0,1,0,0,missed_connection_rebooking,1
flight_cancellation <-> positive_feedback_praise,1,0.6,1,0,flight_cancellation->B:positive_feedback_praise,1.0,0,1,0,positive_feedback_praise,1
change_fee_dispute <-> flight_cancellation,1,0.6,1,0,flight_cancellation->B:change_fee_dispute,1.0,0,1,0,change_fee_dispute,1
baggage_delayed_lost <-> staff_conduct_complaint,1,0.6,1,0,baggage_delayed_lost->B:staff_conduct_complaint,1.0,1,0,0,baggage_delayed_lost,1
baggage_delayed_lost <-> other_non_actionable,1,0.6,1,0,other_non_actionable->B:baggage_delayed_lost,1.0,1,0,0,flight_status_inquiry,1
change_fee_dispute <-> seat_upgrade_request,1,0.6,1,0,change_fee_dispute->B:seat_upgrade_request,1.0,0,1,0,seat_upgrade_request,1
flight_status_inquiry <-> general_dissatisfaction_venting,1,0.6,1,0,flight_status_inquiry->B:general_dissatisfaction_venting,1.0,1,0,0,flight_status_inquiry,1
missed_connection_rebooking <-> positive_feedback_praise,1,0.6,1,0,missed_connection_rebooking->B:positive_feedback_praise,1.0,1,0,0,missed_connection_rebooking,1
general_dissatisfaction_venting <-> other_acknowledgement_thanks,1,0.6,1,0,other_acknowledgement_thanks->B:general_dissatisfaction_venting,1.0,1,0,0,other_acknowledgement_thanks,1
general_dissatisfaction_venting <-> other_out_of_domain,1,0.6,1,0,other_out_of_domain->B:general_dissatisfaction_venting,1.0,1,0,0,other_out_of_domain,1
flight_status_inquiry <-> refund_request,1,0.6,1,0,refund_request->B:flight_status_inquiry,1.0,0,1,0,flight_status_inquiry,1
forced_gate_check_complaint <-> general_dissatisfaction_venting,1,0.6,1,0,forced_gate_check_complaint->B:general_dissatisfaction_venting,1.0,1,0,0,forced_gate_check_complaint,1
forced_gate_check_complaint <-> seat_assignment_change,1,0.6,1,0,forced_gate_check_complaint->B:seat_assignment_change,1.0,1,0,0,forced_gate_check_complaint,1
forced_gate_check_complaint <-> service_failure_complaint,1,0.6,1,0,forced_gate_check_complaint->B:service_failure_complaint,1.0,1,0,0,forced_gate_check_complaint,1
other_non_actionable <-> seat_upgrade_request,1,0.6,1,0,other_non_actionable->B:seat_upgrade_request,1.0,0,1,0,seat_upgrade_request,1
other_non_actionable <-> other_out_of_domain,1,0.6,1,0,other_out_of_domain->B:other_non_actionable,1.0,1,0,0,other_out_of_domain,1
other_acknowledgement_thanks <-> refund_request,1,0.6,1,0,other_acknowledgement_thanks->B:refund_request,1.0,1,0,0,other_acknowledgement_thanks,1
positive_feedback_praise <-> service_failure_complaint,1,0.6,1,0,service_failure_complaint->B:positive_feedback_praise,1.0,1,0,0,service_failure_complaint,1
refund_request <-> seat_assignment_change,1,0.6,1,0,seat_assignment_change->B:refund_request,1.0,1,0,0,seat_assignment_change,1
seat_assignment_change <-> seat_upgrade_request,1,0.6,1,0,seat_upgrade_request->B:seat_assignment_change,1.0,0,0,1,seat_assignment_change,1
seat_assignment_change <-> staff_conduct_complaint,1,0.6,1,0,staff_conduct_complaint->B:seat_assignment_change,1.0,1,0,0,staff_conduct_complaint,1
service_failure_complaint <-> staff_conduct_complaint,1,0.6,1,0,service_failure_complaint->B:staff_conduct_complaint,1.0,1,0,0,service_failure_complaint,1
