pair,v03_n,v04_n,delta,verdict
flight_delay <-> missed_connection_rebooking,10,2,-8,improved
flight_status_inquiry <-> missed_connection_rebooking,6,1,-5,improved
flight_status_inquiry <-> other_non_actionable,13,8,-5,improved
other_non_actionable <-> seat_assignment_change,7,2,-5,improved
other_acknowledgement_thanks <-> positive_feedback_praise,8,4,-4,improved
flight_status_inquiry <-> staff_conduct_complaint,3,0,-3,improved
change_fee_dispute <-> flight_delay,2,0,-2,improved
change_fee_dispute <-> flight_status_inquiry,4,2,-2,improved
flight_delay <-> general_dissatisfaction_venting,6,4,-2,improved
other_non_actionable <-> positive_feedback_praise,8,6,-2,improved
flight_status_inquiry <-> other_acknowledgement_thanks,2,0,-2,improved
flight_status_inquiry <-> positive_feedback_praise,3,1,-2,improved
flight_cancellation <-> flight_delay,4,2,-2,improved
flight_delay <-> forced_gate_check_complaint,2,0,-2,improved
flight_delay <-> seat_assignment_change,2,0,-2,improved
change_fee_dispute <-> general_dissatisfaction_venting,2,0,-2,improved
other_non_actionable <-> service_failure_complaint,2,0,-2,improved
seat_assignment_change <-> service_failure_complaint,2,0,-2,improved
flight_cancellation <-> missed_connection_rebooking,1,0,-1,improved
forced_gate_check_complaint <-> service_failure_complaint,1,0,-1,improved
missed_connection_rebooking <-> positive_feedback_praise,1,0,-1,improved
flight_cancellation <-> positive_feedback_praise,1,0,-1,improved
change_fee_dispute <-> seat_upgrade_request,1,0,-1,improved
other_acknowledgement_thanks <-> refund_request,1,0,-1,improved
flight_status_inquiry <-> refund_request,1,0,-1,improved
flight_cancellation <-> flight_status_inquiry,3,2,-1,improved
baggage_delayed_lost <-> staff_conduct_complaint,1,0,-1,improved
baggage_delayed_lost <-> forced_gate_check_complaint,2,1,-1,improved
baggage_delayed_lost <-> other_non_actionable,1,0,-1,improved
forced_gate_check_complaint <-> seat_assignment_change,1,0,-1,improved
general_dissatisfaction_venting <-> other_out_of_domain,1,0,-1,improved
flight_cancellation <-> general_dissatisfaction_venting,2,1,-1,improved
positive_feedback_praise <-> service_failure_complaint,1,0,-1,improved
seat_assignment_change <-> seat_upgrade_request,1,0,-1,improved
service_failure_complaint <-> staff_conduct_complaint,1,0,-1,improved
seat_assignment_change <-> staff_conduct_complaint,1,0,-1,improved
other_non_actionable <-> staff_conduct_complaint,2,1,-1,improved
baggage_delayed_lost <-> flight_delay,2,1,-1,improved
change_fee_dispute <-> flight_cancellation,1,0,-1,improved
refund_request <-> seat_assignment_change,1,1,0,unchanged
other_non_actionable <-> refund_request,2,2,0,unchanged
general_dissatisfaction_venting <-> other_acknowledgement_thanks,1,1,0,unchanged
general_dissatisfaction_venting <-> positive_feedback_praise,2,2,0,unchanged
general_dissatisfaction_venting <-> service_failure_complaint,6,6,0,unchanged
baggage_delayed_lost <-> general_dissatisfaction_venting,1,1,0,unchanged
flight_delay <-> other_non_actionable,1,1,0,unchanged
forced_gate_check_complaint <-> general_dissatisfaction_venting,1,2,1,regressed
other_acknowledgement_thanks <-> staff_conduct_complaint,0,1,1,regressed
flight_status_inquiry <-> service_failure_complaint,3,4,1,regressed
flight_status_inquiry <-> seat_assignment_change,2,3,1,regressed
forced_gate_check_complaint <-> staff_conduct_complaint,0,1,1,regressed
positive_feedback_praise <-> seat_upgrade_request,0,1,1,regressed
other_non_actionable <-> seat_upgrade_request,1,2,1,regressed
other_out_of_domain <-> staff_conduct_complaint,0,1,1,regressed
positive_feedback_praise <-> seat_assignment_change,0,1,1,regressed
other_non_actionable <-> other_out_of_domain,1,2,1,regressed
change_fee_dispute <-> other_non_actionable,0,1,1,regressed
baggage_damaged <-> flight_delay,0,1,1,regressed
baggage_damaged <-> general_dissatisfaction_venting,0,1,1,regressed
baggage_damaged <-> flight_status_inquiry,0,1,1,regressed
flight_status_inquiry <-> seat_upgrade_request,0,1,1,regressed
baggage_damaged <-> other_non_actionable,0,1,1,regressed
change_fee_dispute <-> service_failure_complaint,0,1,1,regressed
flight_delay <-> refund_request,0,1,1,regressed
refund_request <-> staff_conduct_complaint,0,1,1,regressed
change_fee_dispute <-> refund_request,3,5,2,regressed
flight_status_inquiry <-> forced_gate_check_complaint,2,4,2,regressed
baggage_damaged <-> baggage_delayed_lost,1,3,2,regressed
general_dissatisfaction_venting <-> seat_upgrade_request,0,2,2,regressed
flight_cancellation <-> seat_assignment_change,0,2,2,regressed
other_acknowledgement_thanks <-> other_non_actionable,5,7,2,regressed
general_dissatisfaction_venting <-> refund_request,3,5,2,regressed
general_dissatisfaction_venting <-> staff_conduct_complaint,2,4,2,regressed
flight_status_inquiry <-> general_dissatisfaction_venting,1,4,3,regressed
forced_gate_check_complaint <-> other_non_actionable,0,4,4,regressed
flight_delay <-> flight_status_inquiry,5,9,4,regressed
missed_connection_rebooking <-> other_non_actionable,0,5,5,regressed
general_dissatisfaction_venting <-> other_non_actionable,6,15,9,regressed
