message_id,conversation_id,coarse_cluster,sampling_stratum,message_text,gold_intent,gold_source,A_intent,B_intent
1940832::cust11::1940829,1940832,10,random,[MENTION] [MENTION] It's the [MENTION] way. Still haven't got my bag refund either.,refund_request,agree,refund_request,refund_request
367579::cust2::367581,367579,2,central,[MENTION] 7:45!? You’ve delayed me nearly FOUR hours at this point. I have kids that I was dying to see tonight. This is unacceptable. [MENTION] The flight to LA that left in place of mine was headed the same direction and wasn’t delayed. Nor was the flight to SF. Horrible service.,flight_delay,agree,flight_delay,flight_delay
2508419::cust3::2508415,2508419,8,random,[MENTION] Thank you. That will be tomorrow. 😃,other_acknowledgement_thanks,adjudicated-B,positive_feedback_praise,other_acknowledgement_thanks
2273750::cust1::2273749,2273750,0,central,[MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [MENTION] Have a great time at the conference! We look forward to seeing you when it's time to fly home.,other_non_actionable,agree,other_non_actionable,other_non_actionable
2960856::cust0::2960856,2960856,11,known_error,"Dear [MENTION] , Glad that you ""fully expect to avoid cancellations."" When will you be able to confirm? On Dec. 21, I'm flying American MHK to ORD to BOS — to make connecting international flight on Swiss. If I need to get to BOS via different carrier, please advise ASAP. [URL]",flight_status_inquiry,adjudicated-B,flight_cancellation,flight_status_inquiry
1544463::cust1::1544462,1544463,7,central,"[MENTION] [MENTION] Since youre not traveling as scheduled [MENTION] need to give you a $200 change fee+fare diff, just like they’d demand from you #onlyfair",change_fee_dispute,agree,change_fee_dispute,change_fee_dispute
2401291::cust1::2401290,2401291,6,central,"[MENTION] Don't worry, they crammed this tiny plane full. No other seat options to speak of. Thanks though!",general_dissatisfaction_venting,adjudicated-B,other_non_actionable,general_dissatisfaction_venting
570586::cust1::570585,570586,0,random,"[MENTION] Be honest: do all your social media team members have that ready to CTRL+V? All kidding aside, as an industry vet: best of luck to ya this December.",other_non_actionable,agree,other_non_actionable,other_non_actionable
1296923::cust7::2451826,1296923,10,central,[MENTION] [MENTION] OMG! Yeah I had my carry on as well and they FORCED me to check my bag.,forced_gate_check_complaint,adjudicated-A,change_fee_dispute,flight_delay
694831::cust1::694832,694831,9,central,"[MENTION] . [MENTION] Some customer service advice. U should allow customers to call U with complaints (I had to send a fax). And when your junior service rep calls to apologize &amp; offer an inadequate remedy, U should allow customers to speak to a decision maker who can make it right...",general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
785196::cust0::785196,785196,11,spanish,"9 horas de avión se merecen entretenimiento a bordo, ¿no [MENTION] ? Aviones del siglo pasado... [URL]",other_non_actionable,agree,other_non_actionable,other_non_actionable
2866731::cust0::2866731,2866731,0,random,Flying [MENTION] to #nyc catch me live on set at [MENTION] tomorrow &amp; weds,other_non_actionable,adjudicated-A,other_non_actionable,seat_assignment_change
175582::cust0::175582,175582,5,boundary,"Took three flights to get back to New York. Jokes on them, though, I got two free orange juices out of #AmericanAirlines",positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
2164794::cust0::2164794,2164794,6,central,"[MENTION] changed my [MENTION] seat by 2 days, without me asking them to, and now expect me to fly 9hrs in a middle seat. Livid and disappointed is an understatement.",seat_assignment_change,adjudicated-A,seat_assignment_change,flight_delay
1231512::cust0::1231512,1231512,5,central,[MENTION] thank u for the smooth flight here! amazing crew on AA087! ❤️,positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
2699529::cust3::2699527,2699529,9,central,"[MENTION] Btw your customer relations service so far has been a joke. They did not even take time to read my complaint, but instead just responded with a standard copied pasted response which did only peripherally address my issues.",baggage_delayed_lost,adjudicated-A,baggage_delayed_lost,staff_conduct_complaint
878080::cust0::878080,878080,2,random,"Hey [MENTION] , 4 hours delayed JFK-&gt;LAS and your gate agent giving wrong info. Could have rebooked on another airline. C'mon",flight_delay,agree,flight_delay,flight_delay
1856590::cust0::1856590,1856590,1,cross_cluster,I’ve had American Airlines app on my phone for my flight for about 45 seconds and it froze twice Hope your planes are better [MENTION],service_failure_complaint,agree,service_failure_complaint,service_failure_complaint
1141817::cust0::1141817,1141817,2,random,[MENTION] our flight landed almost 3 hours later and your agents reply was”we fulfilled our duty and got you here” NO SIR! Its 9 pm not 6,flight_delay,agree,flight_delay,flight_delay
855898::cust3::855891,855898,11,random,"[MENTION] I have tried Safari, Firefox and Chrome. The link you give me is not accessible either. I need to check my flight details...",flight_status_inquiry,agree,flight_status_inquiry,flight_status_inquiry
2974063::cust1::2974062,2974063,11,central,[MENTION] Thanks for responding. (I actually spelled some of the flights wrong...),flight_status_inquiry,agree,flight_status_inquiry,flight_status_inquiry
1290563::cust0::1290563,1290563,3,known_error,Que extraño. [MENTION] no puede contestar en inglés pero entendieron lo que le escribbi en español. No se burlen que eso es malo.,other_non_actionable,agree,other_non_actionable,other_non_actionable
2916767::cust0::2916767,2916767,1,central,[MENTION] is the biggest joke of an airline! Don’t fly them if you want to be treated respectfully. Rude disrespectful gate staff. Take the sticks out of yours asses and serve your customers since you work in “customer service” 🖕🏼,staff_conduct_complaint,agree,staff_conduct_complaint,staff_conduct_complaint
1028505::cust0::1028505,1028505,2,known_error,At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL],flight_status_inquiry,agree,flight_status_inquiry,flight_status_inquiry
488967::cust3::488966,488967,3,central,[MENTION] Ok,flight_delay,agree,flight_delay,flight_delay
2542462::cust0::2542462,2542462,11,random,"I think we’re up to 8 different ways that [MENTION] has made me agree to the basic economy rules. I GET IT, I just want to check my flight status. Calm down.",flight_status_inquiry,agree,flight_status_inquiry,flight_status_inquiry
246057::cust2::246056,246057,2,boundary,"[MENTION] Seriously - the delays and customer service have gotten worse since the US Airways acquisition. You just got a new loyal customer, [MENTION] .",general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
2108184::cust0::2108184,2108184,10,central,[MENTION] Why were my bags put on the wrong plane? Don’t you scan tags? I need my clothes and medication ASAP. Please help. SNAAA02397401,baggage_delayed_lost,agree,baggage_delayed_lost,baggage_delayed_lost
1590773::cust1::1590772,1590773,8,central,[MENTION] Thanks!,other_acknowledgement_thanks,agree,other_acknowledgement_thanks,other_acknowledgement_thanks
2476471::cust0::2476471,2476471,0,central,[MENTION] you guys make my day! #loyaltypays [URL],positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
2584594::cust0::2584594,2584594,6,cross_cluster,"How come [MENTION] can't figure out how to make travel comfortable or even just not painful. My leg is jammed up against this blockade in front of my seat, no USB charging port or AC port on an international flight, and its smells like clam chowder. Get your shit together.",service_failure_complaint,adjudicated-A,service_failure_complaint,general_dissatisfaction_venting
1520082::cust0::1520082,1520082,11,boundary,[MENTION] do you know what the baggage claim phone number at RSW airport is?,flight_status_inquiry,adjudicated-A,other_non_actionable,baggage_delayed_lost
1244031::cust1::1244030,1244031,10,central,[MENTION] [MENTION] Hahaha. Such BS. Refuse! I did that today and they didn't get bag on next flight. Been waiting 7 hours to get bags.,forced_gate_check_complaint,adjudicated-A,forced_gate_check_complaint,baggage_delayed_lost
2854575::cust0::2854575,2854575,0,central,[MENTION] I have a [MENTION] hub right here in Denver. Will be glad to take all my business to them if you don’t make this right. New job means I’ll be traveling 50% of the time so I’m sure they will appreciate my business and will treat me with respect unlike your airline 😁,general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
1600794::cust2::1600796,1600794,7,central,[MENTION] No thanks! I just wish I never even bothered and now I’m out $600 unless I’d like to spend $400 more. Never had that problem flying [MENTION],refund_request,agree,refund_request,refund_request
1590160::cust0::1590160,1590160,10,boundary,[MENTION] not a good service day. Late all day due to your own issues but my bags made two hours ago! #GetItTogether,flight_delay,agree,flight_delay,flight_delay
2442163::cust0::2442163,2442163,10,boundary,". [MENTION] , now you? “Flt attendant: “I’ll need to ask the pilot if you can stow your guitar in the closet.” Me: “I️ have a copy of the FAA Modernization &amp; Reform Act Of 2012 that says I️ can stow it in the closet.” FA: “umm Okay.” Me: “Thanks.” #SMH [URL]",other_non_actionable,adjudicated-A,other_non_actionable,flight_status_inquiry
499432::cust1::499431,499432,3,central,[MENTION] [MENTION],other_non_actionable,adjudicated-A,other_non_actionable,flight_status_inquiry
877945::cust0::877945,877945,2,central,[MENTION] why is my flight getting delayed for over 1.5 hours? I have to be in D.C. before 8 est and y'all aren't helping #Flight4275,flight_delay,agree,flight_delay,flight_delay
2123361::cust0::2123361,2123361,5,boundary,[MENTION] great job today at #SkyHarbor in Phoenix. Lines moved quickly after the delay. Don't let [MENTION] know I'm flying with you today. I know you are about to break up with each other.,other_non_actionable,adjudicated-A,other_non_actionable,positive_feedback_praise
1271353::cust0::1271353,1271353,7,boundary,[MENTION] Why can’t AA assist in rebooking codeshare flight operated by IB booked w/aa miles?,missed_connection_rebooking,adjudicated-A,missed_connection_rebooking,flight_status_inquiry
2927434::cust0::2927434,2927434,5,central,"[MENTION] Thanks for great service! Flight delay made us miss our connecting flight, and we were met at the gate with boarding passes for the next flight. Super!",missed_connection_rebooking,adjudicated-A,missed_connection_rebooking,positive_feedback_praise
1198578::cust0::1198578,1198578,0,boundary,Birthday Wednesday [MENTION] [MENTION] [MENTION] [MENTION] [MENTION],other_acknowledgement_thanks,adjudicated-A,other_acknowledgement_thanks,refund_request
922267::cust1::922266,922267,8,boundary,"[MENTION] ok, so can you give me an update?",flight_status_inquiry,adjudicated-A,flight_status_inquiry,flight_delay
2707232::cust0::2707232,2707232,1,central,[MENTION] is the worst airline company. I have experienced the worst service with no response to assist. I will not be using your services again! #AmericanAirlines #TerribleService #BadBusiness,general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
2453046::cust0::2453046,2453046,2,random,"[MENTION] flight 989 to Montevideo. Still in the airplane , but now we are to heavy, 82 minutes delay already#americanmierlines",flight_delay,agree,flight_delay,flight_delay
2692268::cust0::2692268,2692268,11,boundary,. [MENTION] flight from MIA to Ecuador circled a few times and turned back to airport. Waiting to find out what the problem is. [URL],flight_delay,agree,flight_delay,flight_delay
1880872::cust1::1880871,1880872,8,non_actionable,[MENTION] I replied.,refund_request,agree,refund_request,refund_request
2268182::cust12::2268202,2268182,1,central,"[MENTION] [MENTION] Interesting. Third time flying American, each experience worse than the last. Thought it was a fluke til this last one. Thanks for this.. I won't give this airline my business any longer. A little customer service goes a long way but is non-existent with this airline",general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
2797618::cust0::2797618,2797618,9,boundary,yo [MENTION] teach your employees how to address people kindly without gendering them. just watched a flight attendant consistently misgender all these children.,staff_conduct_complaint,agree,staff_conduct_complaint,staff_conduct_complaint
1521435::cust0::1521435,1521435,2,central,[MENTION] absolute horrible how you guys operate. There was a 30 min delay for no reason than caused me to miss my connecting flight,missed_connection_rebooking,adjudicated-A,missed_connection_rebooking,flight_delay
1174919::cust2::1174917,1174919,4,central,[MENTION] [MENTION] [URL],staff_conduct_complaint,agree,staff_conduct_complaint,staff_conduct_complaint
1846750::cust0::1846750,1846750,2,central,[MENTION] with 24 hour knowledge the plane for #2375 was 3 hours delayed you might reposition planes to get back on schedule if you cared,flight_delay,agree,flight_delay,flight_delay
302409::cust1::302407,302409,7,central,"[MENTION] [MENTION] If you missed your flight, the only help will be to charge you $200 for a rebooking fee before you pay for the ticket. #CustomerServiceWeek",missed_connection_rebooking,adjudicated-A,missed_connection_rebooking,flight_cancellation
2283607::cust1::2283606,2283607,3,boundary,[MENTION] Top notch!,positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
2250364::cust1::2250363,2250364,1,hard_negative_topup,[MENTION] The agents that checked in my luggage and gate agents clearly were not helpful at all. This is my first time flying the airline and i had a few questions about seat assignments and the lady informed me that i look smart and read he FAQ on the site. Totally stunned. [MENTION] I was trying to pay for an upgraded seat to first class and the gate agent clearly didn’t want to be bothered so i just paid my $25 bag fee and went on with my business. Very dissatisfied with my first time on this airline,staff_conduct_complaint,adjudicated-A,staff_conduct_complaint,general_dissatisfaction_venting
462748::cust0::462748,462748,9,central,[MENTION] read below. Your customer service department belw me off [URL],flight_delay,agree,flight_delay,flight_delay
2524731::cust0::2524731,2524731,0,cross_cluster,[MENTION] and does Eagle only serve water in MainCabin now?,service_failure_complaint,adjudicated-A,service_failure_complaint,flight_status_inquiry
1134396::cust2::1134398,1134396,8,central,[MENTION] Thank you!,other_acknowledgement_thanks,adjudicated-B,other_non_actionable,other_acknowledgement_thanks
2070647::cust0::2070647,2070647,10,central,[MENTION] Super disappointed that you had me check luggage despite tons of space on plane. Thx for prolonging my travel for nothing.,forced_gate_check_complaint,agree,forced_gate_check_complaint,forced_gate_check_complaint
778516::cust0::778516,778516,5,boundary,[MENTION] you are the best. I usually fly Southwest but 2day a rep rebooked my flight abroad after a 3rd party canceled my flight! 🙏🏽🙏🏽,positive_feedback_praise,adjudicated-B,flight_cancellation,positive_feedback_praise
2555638::cust38::2555786,2555638,10,boundary,"[MENTION] [MENTION] [MENTION] [MENTION] [MENTION] You now what, the transportation companies (FEDEX, DHL, any airline) should themselves refuse to transport certain items such as these. If they would hv dignity, they themselves would deny the transportation. We can start a campain with this idea....",other_out_of_domain,adjudicated-A,other_out_of_domain,general_dissatisfaction_venting
1076533::cust3::1076554,1076533,1,random,[MENTION] [MENTION] I’ll be going out of my way to never book with #AmericanAir #AATeams again. #FlyTheL #premature,general_dissatisfaction_venting,agree,general_dissatisfaction_venting,general_dissatisfaction_venting
2273750::cust3::2273746,2273750,0,central,"[MENTION] I appreciate you too. And btw, that ice cream sundae you served this trip! Wow, I always look forward to that. #toogoodforwords #travel [URL]",positive_feedback_praise,adjudicated-B,other_acknowledgement_thanks,positive_feedback_praise
