message_id,conversation_id,coarse_cluster,sampling_stratum,message_text,gold_intent,gold_source,A_intent,B_intent
722238::cust0::722238,722238,6,known_error,[MENTION] made it to my gate in time yet seat was given up. Thank you for the great service yet again. A heads up would have been nice.,seat_assignment_change,agree,seat_assignment_change,seat_assignment_change
1198578::cust0::1198578,1198578,0,boundary,Birthday Wednesday [MENTION] [MENTION] [MENTION] [MENTION] [MENTION],other_acknowledgement_thanks,adjudicated-A,other_acknowledgement_thanks,refund_request
1155786::cust0::1155786,1155786,4,tail_damaged,Okay? [MENTION] [URL],flight_delay,topup-single-qwen,baggage_damaged,
1664944::cust2::1664946,1664944,9,boundary,[MENTION] Rebooking is not the issue. Compensating for a hotel because of your lack of communication is.,service_failure_complaint,adjudicated-B,general_dissatisfaction_venting,service_failure_complaint
2572581::cust157::2572456,2572581,3,tail_ood,[MENTION] [MENTION] Thank you [MENTION] for supporting animals and standing against this disgusting practice.,other_non_actionable,topup-single-qwen,other_out_of_domain,
2572581::cust118::2572421,2572581,0,tail_ood,"[MENTION] [MENTION] [MENTION] Thank you [MENTION] , it’s good to see there is still some empathy for animals in America.",other_non_actionable,topup-single-qwen,other_out_of_domain,
2960795::cust0::2960795,2960795,4,tail_damaged,First time ever seeing this on [MENTION] [URL],positive_feedback_praise,topup-single-qwen,baggage_damaged,
2321094::cust3::2321088,2321094,11,reject_queue,[MENTION] One more q. Family member is then traveling from ORD to SLC on the 5:05p. Will they make that or will it be the later flight?,flight_status_inquiry,topup-single-qwen,missed_connection_rebooking,
2866731::cust0::2866731,2866731,0,random,Flying [MENTION] to #nyc catch me live on set at [MENTION] tomorrow &amp; weds,other_non_actionable,adjudicated-A,other_non_actionable,seat_assignment_change
2898428::cust0::2898428,2898428,1,tail_cancel,"And then the pilot lies [MENTION] &amp; announces there is a new plane (no plane), I get re-booked on orig flight (still not going now cancelled). Now chasing down my back. Did I mention the nasty reservationist?? [URL]",flight_cancellation,topup-single-qwen,flight_cancellation,
2555638::cust6::2555628,2555638,4,non_actionable,[MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [URL],other_non_actionable,agree,other_non_actionable,other_non_actionable
373425::cust0::373425,373425,3,cross_cluster,"[MENTION] terminal E at [MENTION] is dirty, hot, no plug-ins for devices. The air doesn't even move, hard to breathe Disgusting!",service_failure_complaint,agree,service_failure_complaint,service_failure_complaint
462748::cust0::462748,462748,9,central,[MENTION] read below. Your customer service department belw me off [URL],flight_delay,agree,flight_delay,flight_delay
1036194::cust0::1036194,1036194,0,tail_upgrade,[MENTION] can you pls just upgrade me to first class for free,seat_upgrade_request,topup-single-qwen,seat_upgrade_request,
2158099::cust2::2158095,2158099,8,boundary,[MENTION] PS... my box made it to DC. Thanks for helping out!,other_acknowledgement_thanks,agree,other_acknowledgement_thanks,other_acknowledgement_thanks
13304::cust1::13302,13304,9,cross_cluster,[MENTION] Problem is when you check the website compulsively and it’s not updated!,staff_conduct_complaint,adjudicated-A,staff_conduct_complaint,general_dissatisfaction_venting
1636873::cust0::1636873,1636873,4,tail_damaged,Can we right a brutal metal song about how much [MENTION] sucks!? [MENTION] [URL],other_out_of_domain,topup-single-qwen,baggage_damaged,
2945177::cust0::2945177,2945177,4,tail_damaged,[MENTION] [URL],other_non_actionable,topup-single-qwen,baggage_damaged,
1123476::cust0::1123476,1123476,9,boundary,#takingoff #7hourdelay #thanks [MENTION] for nothing. 🤷🏼‍♀️,flight_delay,agree,flight_delay,flight_delay
2070647::cust0::2070647,2070647,10,central,[MENTION] Super disappointed that you had me check luggage despite tons of space on plane. Thx for prolonging my travel for nothing.,forced_gate_check_complaint,agree,forced_gate_check_complaint,forced_gate_check_complaint
712987::cust0::712987,712987,4,boundary,[MENTION] did not see that coming... Never had this happen [MENTION] #noteligible? Ouch. [URL],flight_status_inquiry,adjudicated-B,flight_cancellation,flight_status_inquiry
691378::cust8::691371,691378,0,reject_queue,[MENTION] [MENTION] What city are you in? Did you check yourself if they are truly all sold out?,missed_connection_rebooking,topup-single-qwen,flight_status_inquiry,
2457371::cust0::2457371,2457371,6,central,"[MENTION] hi, just wondering why when I fly with you I cannot choose my seat? Is it because the first part of my flight is with [MENTION]",seat_assignment_change,agree,seat_assignment_change,seat_assignment_change
785196::cust0::785196,785196,11,spanish,"9 horas de avión se merecen entretenimiento a bordo, ¿no [MENTION] ? Aviones del siglo pasado... [URL]",other_non_actionable,agree,other_non_actionable,other_non_actionable
1018244::cust3::1018241,1018244,7,reject_queue,[MENTION] [MENTION] Well it actually cost then more money to stay on the ground too long. Jet fuel ain't cheap. [MENTION] [MENTION] It's like leaving your car running before you even get on the road if that makes sense,flight_delay,topup-single-qwen,change_fee_dispute,
2108268::cust0::2108268,2108268,1,tail_cancel,Worst travel day ever w/ [MENTION] . Waited 5months to see my husband(serving in AirForce). My flight was cancelled. I missed his ceremony. [MENTION] [MENTION] The gate agent didn’t even blink as I burst into tears at the ticket counter. Then both my new flights were delayed. Both!,flight_cancellation,topup-single-qwen,flight_cancellation,
1134486::cust4::1134485,1134486,11,reject_queue,[MENTION] Boarding now,flight_status_inquiry,topup-single-qwen,other_non_actionable,
1224738::cust0::1224738,1224738,1,reject_queue,Thanks [MENTION] for the great meal in 1st class- worst service ever! What else do you want for $2000 a ticket #corporategreedpersonified [URL],positive_feedback_praise,topup-single-qwen,change_fee_dispute,
1439893::cust0::1439893,1439893,5,central,[MENTION] thank you for expediting that last flight!! The staff and crew were just downright awesome!!!,positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
