message_uid,conversation_id,candidate_cluster,customer_text,weak_intent,weak_margin,weak_dist_best,silver_accept
1000::cust0::1000,1000,11,[MENTION] have a flight at 330pm (45mins) I’m almost to Lax. I’m legally blind and didn’t know where to let you know I need assistance. [MENTION] Could you have someone on your lax team available to guide me to my gate ASAP,missed_connection_rebooking,0.0003,0.6104,False
1000::cust1::997,1000,0,[MENTION] Erica on the lax team is amazing give her a raise ty,positive_feedback_praise,0.024,0.7922,True
1000419::cust0::1000419,1000419,6,wtf? [MENTION] has a lounge at MSP but [MENTION] doesn’t?!,service_failure_complaint,0.0159,0.7621,True
1000421::cust0::1000421,1000421,3,[MENTION] bumping [MENTION] “Shoulder Lean” in the [MENTION] terminal #classicsong #sundaymotivation,other_non_actionable,0.0554,0.6757,True
1000426::cust0::1000426,1000426,7,. [MENTION] just successfully offered $1800/person + meals/hotel to get 2 people 2 take same flt 2mrw from ORD—&gt;SAN. $AAL,change_fee_dispute,0.0107,0.8354,True
1000426::cust1::1000424,1000426,0,[MENTION] SAN today.,other_non_actionable,0.0356,0.7724,True
1000432::cust0::1000432,1000432,11,"Airlines need to make announcements that earphones must be used when listening to music/watching TV/playing games. It's getting ridiculous. Looking @ you, [MENTION] [MENTION] !",service_failure_complaint,0.0068,0.7827,True
1000432::cust1::1000428,1000432,9,[MENTION] I didn't need a pair... it's others who think it's ok to listen to music/watch movies/play games without using earphones. #rude #annoying,service_failure_complaint,0.0065,0.8395,True
1000435::cust0::1000435,1000435,1,[MENTION] worst service ever today. Ended up having to get an Uber to Love field and buy a southwest ticket. Per your cs desk suggestion!,flight_cancellation,0.0031,0.6494,False
1000435::cust1::1000434,1000435,7,[MENTION] I got half way to my destination then had to book another flight to complete the trip.What about reimbursement for the cost of that ticket?,change_fee_dispute,0.0104,0.5909,True
1000435::cust2::1000437,1000435,11,[MENTION] Because I did not use my last segment is there anything I need to do about my return flight? Or just proceed as usual?,missed_connection_rebooking,0.0105,0.596,True
1000435::cust3::1000439,1000435,10,[MENTION] How can I get a copy of my checked baggage receipts?,baggage_delayed_lost,0.0149,0.6684,True
1000435::cust4::1000441,1000435,3,[MENTION] Not Seeing that document number .. I’ll dm you what I see,other_non_actionable,0.0274,0.6878,True
1000444::cust0::1000444,1000444,5,[MENTION] Future pilot! Thanks for the awesome service! [URL],positive_feedback_praise,0.0278,0.5763,True
1000449::cust0::1000449,1000449,10,FYI [MENTION] is worst airline to fly alone with child. Their suggestion to avoid minor overage in weight... bring two bags. It’s cheaper [MENTION] How in the world would they expect me to transport two bags and a child on my own? [MENTION] So instead of charging $25 for an extra bag [MENTION] charged me $100 extra for my one bag going slightly over 50lbs. #meantomoms,change_fee_dispute,0.0108,0.7197,True
1000449::cust1::1000446,1000449,7,[MENTION] It makes no sense that 2 bags w total 100lbs cost less than 1 bag slightly over 50. sky cap service doesn’t help me from home to airport.,change_fee_dispute,0.0397,0.6757,True
1001324::cust0::1001324,1001324,10,"[MENTION] the kiosk didn't print me a receipt for my checked bag, &amp; gate agent can't print one. how do I get one, need for work trip.",baggage_delayed_lost,0.0249,0.7074,True
1001324::cust1::1001323,1001324,8,"[MENTION] DM sent, thank you!",other_acknowledgement_thanks,0.1132,0.5234,True
1001326::cust0::1001326,1001326,2,"[MENTION] is consistent, stopped flying with you and 3 years ago,simple trip KC-Chicago today 1hr late and no gate on arrvl still waiting",missed_connection_rebooking,0.0097,0.568,True
