label,A_n,B_n,agree_n,involved,agreement_rate,adjudicated_final_n,top_competitors,A_conf,B_conf,overturned_A,overturned_B,both_wrong,stability
missed_connection_rebooking,18,0,0,18,0.0,17,flight_delay:10; flight_status_inquiry:6; positive_feedback_praise:1,{'high': 18},{},0,0,0,BOUNDARY_PROBLEM
forced_gate_check_complaint,10,1,1,10,0.1,11,flight_status_inquiry:2; baggage_delayed_lost:2; flight_delay:2,{'high': 10},{'high': 1},0,0,0,BOUNDARY_PROBLEM
change_fee_dispute,13,4,2,15,0.133,12,flight_status_inquiry:4; refund_request:3; general_dissatisfaction_venting:2,{'high': 13},{'high': 4},1,1,0,BOUNDARY_PROBLEM
flight_cancellation,12,4,2,14,0.143,6,flight_delay:4; flight_status_inquiry:3; general_dissatisfaction_venting:2,{'high': 12},{'high': 4},6,2,0,BOUNDARY_PROBLEM
other_non_actionable,53,14,9,58,0.155,32,flight_status_inquiry:13; positive_feedback_praise:8; seat_assignment_change:7,"{'high': 44, 'low': 8, 'medium': 1}",{'high': 14},18,2,4,FALLBACK_BUCKET
service_failure_complaint,15,7,3,19,0.158,16,general_dissatisfaction_venting:6; flight_status_inquiry:3; seat_assignment_change:2,"{'high': 14, 'medium': 1}",{'high': 7},1,1,0,BOUNDARY_PROBLEM
flight_status_inquiry,19,53,12,60,0.2,26,other_non_actionable:13; missed_connection_rebooking:6; flight_delay:5,"{'high': 15, 'medium': 3, 'low': 1}",{'high': 53},2,32,2,FALLBACK_BUCKET
seat_upgrade_request,2,3,1,4,0.25,3,seat_assignment_change:1; other_non_actionable:1; change_fee_dispute:1,{'high': 2},{'high': 3},0,0,1,UNDERREPRESENTED
seat_assignment_change,11,18,6,23,0.261,14,other_non_actionable:7; flight_status_inquiry:2; flight_delay:2,{'high': 11},{'high': 18},0,9,1,BOUNDARY_PROBLEM
general_dissatisfaction_venting,16,48,15,49,0.306,30,service_failure_complaint:6; flight_delay:6; other_non_actionable:6,{'high': 16},{'high': 48},1,22,0,FALLBACK_BUCKET
other_out_of_domain,3,1,1,3,0.333,3,other_non_actionable:1; general_dissatisfaction_venting:1,{'high': 3},{'high': 1},0,0,0,UNDERREPRESENTED
positive_feedback_praise,23,29,14,38,0.368,23,other_non_actionable:8; other_acknowledgement_thanks:8; flight_status_inquiry:3,{'high': 23},{'high': 29},6,9,0,BOUNDARY_PROBLEM
refund_request,12,13,7,18,0.389,10,general_dissatisfaction_venting:3; change_fee_dispute:3; other_non_actionable:2,"{'high': 11, 'medium': 1}",{'high': 13},1,6,0,BOUNDARY_PROBLEM
other_acknowledgement_thanks,23,20,13,30,0.433,24,positive_feedback_praise:8; other_non_actionable:5; flight_status_inquiry:2,{'high': 23},{'high': 20},4,2,0,BOUNDARY_PROBLEM
staff_conduct_complaint,14,12,8,18,0.444,16,flight_status_inquiry:3; general_dissatisfaction_venting:2; other_non_actionable:2,{'high': 14},{'high': 12},0,2,1,BOUNDARY_PROBLEM
baggage_delayed_lost,11,11,7,15,0.467,13,flight_delay:2; forced_gate_check_complaint:2; staff_conduct_complaint:1,{'high': 11},{'high': 11},0,3,0,BOUNDARY_PROBLEM
baggage_damaged,2,1,1,2,0.5,1,baggage_delayed_lost:1,{'high': 2},{'high': 1},1,0,0,UNDERREPRESENTED
flight_delay,43,61,35,69,0.507,43,missed_connection_rebooking:10; general_dissatisfaction_venting:6; flight_status_inquiry:5,"{'high': 42, 'medium': 1}",{'high': 61},2,23,1,STABLE
