message_id,conversation_id,coarse_cluster,sampling_stratum,message_text,gold_intent,gold_source,A_intent,B_intent
1013269::cust0::1013269,1013269,9,random,Shoutout to [MENTION] for great customer svc on the phone and at kiosk. Sorry I can’t get my life together today.,positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
1013272::cust1::1013271,1013272,8,non_actionable,[MENTION] thanks,other_acknowledgement_thanks,agree,other_acknowledgement_thanks,other_acknowledgement_thanks
1028505::cust0::1028505,1028505,2,known_error,At O’Hare and the line spans the entire terminal. Only one security gate open. How does this happen? [MENTION] [URL],flight_status_inquiry,agree,flight_status_inquiry,flight_status_inquiry
1029067::cust1::1029065,1029067,0,boundary,[MENTION] Lol yea hopefully the return is much better because today was most certainly not a pleasant experience.,general_dissatisfaction_venting,adjudicated-B,flight_delay,general_dissatisfaction_venting
1032851::cust0::1032851,1032851,0,central,[MENTION] AA 2194 10/22/17 DFW-SJC. Thank you Nannette &amp; Laura. Outstanding service. They’re the reason why I re-qualify for EP each year,positive_feedback_praise,agree,positive_feedback_praise,positive_feedback_praise
104342::cust23::2959672,104342,11,central,"[MENTION] [MENTION] [MENTION] [MENTION] I called them yesterday to ask this very same question and was told that “flights can be cancelled as late as when you’re on the plane, so there’s no way of knowing. We will schedule you for the next available flight should yours be cancelled.” Super unhelpful.",flight_cancellation,adjudicated-A,flight_cancellation,flight_status_inquiry
1049522::cust0::1049522,1049522,7,boundary,After 17 years and 2 million miles. I'm done with [MENTION] . Sold me tix twice for flights they knew were canceled.,flight_cancellation,agree,flight_cancellation,flight_cancellation
1050009::cust2::1050013,1050009,9,random,[MENTION] 25 mins now since economy opened and I am still standing in priority waiting to check in get it together as [MENTION] Now she’s left the counter [MENTION] Time to send her to retirement ! Not a good representing cr for American [MENTION] Really ! [MENTION] Even if priority is not set up surely the main checkin should take those customers first !,flight_delay,agree,flight_delay,flight_delay
1056893::cust0::1056893,1056893,10,random,I had never had baggage issues with any airline like yesterday with [MENTION],baggage_delayed_lost,agree,baggage_delayed_lost,baggage_delayed_lost
1059042::cust0::1059042,1059042,6,hard_negative_topup,What gives [MENTION] ? Skip #1 on the list and people with less status upgraded? ... and open seats in first? [URL],change_fee_dispute,adjudicated-A,change_fee_dispute,flight_status_inquiry
1061749::cust1::1061746,1061749,6,central,"[MENTION] I did, it redirected me to Jetstar &amp; allowed me to book seats. Then on Wed at CHC my son &amp; I didn’t get seats near my wife &amp; daughter",seat_assignment_change,adjudicated-A,seat_assignment_change,flight_status_inquiry
1063345::cust0::1063345,1063345,6,hard_negative_topup,"[MENTION] I paid for upgraded seats, however tray tables were broken. Y can't you refund what I paid? Y should I pay for broken seats",refund_request,agree,refund_request,refund_request
1068787::cust0::1068787,1068787,2,central,[MENTION] seriously a two hour delay because you don’t have a flight attendant? I chose your airline over [MENTION] to avoid this stupidity,flight_delay,agree,flight_delay,flight_delay
1068791::cust0::1068791,1068791,6,central,[MENTION] made me check in my bag because we were one of the last ones to board... but there is empty seats &amp; MY overhead space is open 🤔 [URL],forced_gate_check_complaint,adjudicated-A,forced_gate_check_complaint,flight_status_inquiry
1072410::cust0::1072410,1072410,4,boundary,"I needed this right now. Be forewarned, all my tweets for the next 24 will be about my awful experience with [MENTION] . [URL]",service_failure_complaint,adjudicated-A,service_failure_complaint,general_dissatisfaction_venting
