message_id,proposed_intent,competing_label,confidence,centroid_margin,coarse_cluster,sampling_stratum,message_text,evidence_rationale
2210178::cust1::2210177,missed_connection_rebooking,flight_status_inquiry,high,-0.7109,4,central,[MENTION] [MENTION] [URL],"The customer is concerned about missing a connection due to a late departure, which is the primary issue."
1174919::cust2::1174917,service_failure_complaint,general_dissatisfaction_venting,high,-0.6768,4,central,[MENTION] [MENTION] [URL],"Customer expresses dissatisfaction and frustration with the handling of a discrimination issue, which is an operational failure."
254221::cust2::254223,flight_delay,,high,-0.6588,4,central,[MENTION] [MENTION] [URL],Customer expresses frustration with flight delays and the perceived lack of accurate information.
254221::cust6::254231,flight_delay,,high,-0.6588,4,central,[MENTION] [MENTION] [URL],Customer expresses frustration with flight delays and the perceived lack of accurate information.
539315::cust4::539318,flight_delay,,high,-0.6588,4,central,[MENTION] [MENTION] [URL],Customer expresses dissatisfaction with flight delay and crew member tardiness.
1349666::cust3::1349668,positive_feedback_praise,,high,-0.6081,4,central,[MENTION] [MENTION] [URL],"Customer provides specific praise for the airline's customer service, mentioning a staff member by name."
2572581::cust175::2572477,other_non_actionable,flight_status_inquiry,high,-0.5246,4,central,[MENTION] [MENTION] [URL],Customer is sending a bare thank you message without any specific request or issue.
921664::cust3::921666,other_non_actionable,,high,-0.5246,4,central,[MENTION] [MENTION] [URL],"Customer is making a joke about the delay, which does not pertain to a specific issue."
2555638::cust6::2555628,other_non_actionable,,high,-0.3429,4,non_actionable,[MENTION] [MENTION] [MENTION] [MENTION] [MENTION] [URL],The customer is sharing a personal opinion and expressing gratitude without requesting any action from AA.
1707356::cust3::1707353,flight_status_inquiry,flight_cancellation,high,-0.3067,8,central,[MENTION] Thank you!,"Customer asks about flight availability, which aligns with the primary goal of the next step being a flight status inquiry."
2284593::cust2::2284595,flight_status_inquiry,other_non_actionable,high,-0.3067,8,central,[MENTION] Thank you!,"Customer is asking about personal TVs on the flight, which is a neutral inquiry."
1699273::cust1::1699272,baggage_delayed_lost,,high,-0.2398,8,non_actionable,[MENTION] Will do thanks,"Customer reports a damaged bag, which aligns with the primary goal of the next step being a request for damage report."
488967::cust3::488966,flight_delay,,high,-0.1722,3,central,[MENTION] Ok,Customer is inquiring about the flight status and expressing dissatisfaction due to lack of information.
983157::cust0::983157,other_non_actionable,,high,-0.1507,6,random,"""window seat"" [MENTION] i'm also annoyed that i couldnt access the lounge even though i'm flying international because it's the caribbean [URL]","Customer is complaining about not being able to access a lounge, which is not related to a specific issue."
1882959::cust0::1882959,other_non_actionable,,high,-0.1479,2,boundary,[MENTION] I booked Etihad flight with AA miles 2 days ago. Why would it take 7 days to be ticketed?! #frustrated,"Customer is expressing frustration about a delayed ticketing process, but there is no specific request or issue."
104342::cust23::2959672,other_non_actionable,,high,-0.1328,11,central,"[MENTION] [MENTION] [MENTION] [MENTION] I called them yesterday to ask this very same question and was told that “flights can be cancelled as late as when you’re on the plane, so there’s no way of knowing. We will schedule you for the next available flight should yours be cancelled.” Super unhelpful.",Customer and agent engage in social chatter with no clear problem or request.
1614894::cust0::1614894,other_non_actionable,,high,-0.1221,7,boundary,Rather tired of having to drive to airports other than [MENTION] because flights are consistently 3x less elsewhere [MENTION],"Customer expresses dissatisfaction with airport choices and mentions a cheaper flight, indicating general venting without a specific request."
1841796::cust1::1841797,general_dissatisfaction_venting,,high,-0.1214,3,central,[MENTION] [MENTION] Uh oh woah,The customer is expressing dissatisfaction and venting about the lack of response from American Airlines.
1134396::cust2::1134398,other_non_actionable,positive_feedback_praise,high,-0.1213,8,central,[MENTION] Thank you!,Customer's message is a bare thank you with no request or specific issue.
2558932::cust1::2558931,other_non_actionable,flight_status_inquiry,high,-0.1213,8,central,[MENTION] Thank you!,Customer is sending a bare thank you message without any specific request or issue.
2643159::cust0::2643158,other_non_actionable,,high,-0.1213,8,central,[MENTION] thank you!,The message is a bare thanks and does not contain any request or problem.
1536525::cust2::1536522,other_non_actionable,,high,-0.1204,8,central,[MENTION] Thanks!,Customer's message is a bare thanks without any request or problem.
1590773::cust1::1590772,other_non_actionable,,high,-0.1204,8,central,[MENTION] Thanks!,Customer sends a bare thank you with no request or content.
1700268::cust1::1700267,other_non_actionable,,high,-0.1204,8,central,[MENTION] Thanks!,Customer's message is a bare acknowledgment with no request or specific issue.
1296923::cust7::2451826,change_fee_dispute,flight_delay,high,-0.109,10,central,[MENTION] [MENTION] OMG! Yeah I had my carry on as well and they FORCED me to check my bag.,"Customer is disputing a change fee and mentioning Basic Economy, which is a fare dispute issue."
2164794::cust3::2164801,general_dissatisfaction_venting,seat_assignment_change,high,-0.1021,3,central,[MENTION] [MENTION] 😬,"The customer is venting about the involuntary seat change and delay, expressing strong dissatisfaction."
1880872::cust1::1880871,refund_request,change_fee_dispute,high,-0.0937,8,non_actionable,[MENTION] I replied.,"Customer explicitly states they want a refund, which is the primary next-step action."
2976923::cust0::2976923,flight_delay,,high,-0.0902,3,cross_cluster,[MENTION] thanks for stranding me in DC. Another huge reminder on why I continue to keep top status on [MENTION],"Customer expresses dissatisfaction due to being stranded, which is a form of flight delay."
1345029::cust1::1345028,flight_cancellation,flight_delay,high,-0.0833,7,central,"[MENTION] The desk agent at [MENTION] literally said “that’s not my problem”, so I had to spend an extra $100 to book a new flight a week from today.","Customer mentions the flight was canceled and had to book a new one, which is a cancellation issue."
2518504::cust0::2518504,flight_delay,,high,-0.0733,1,central,[MENTION] NEVER AGAIN will I fly your airline! The absolute worst experience!,"Customer complains about a delayed flight and missed connection, which is a primary flight delay issue."
