message_id,annotator_A,annotator_B,agreement,A_confidence,B_confidence,A_competing,B_competing,disagreement_type,likely_taxonomy_issue
1013269::cust0::1013269,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
1013272::cust1::1013271,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1028505::cust0::1028505,flight_status_inquiry,flight_status_inquiry,True,medium,high,service_failure_complaint,,agree,
1029067::cust1::1029065,flight_delay,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1032851::cust0::1032851,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
104342::cust23::2959672,flight_cancellation,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1049522::cust0::1049522,flight_cancellation,flight_cancellation,True,high,high,,,agree,
1050009::cust2::1050013,flight_delay,flight_delay,True,high,high,service_failure_complaint,,agree,
1056893::cust0::1056893,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
1059042::cust0::1059042,change_fee_dispute,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1061749::cust1::1061746,seat_assignment_change,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1063345::cust0::1063345,refund_request,refund_request,True,high,high,,,agree,
1068787::cust0::1068787,flight_delay,flight_delay,True,high,high,,,agree,
1068791::cust0::1068791,forced_gate_check_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1072410::cust0::1072410,service_failure_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1076533::cust3::1076554,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
1077591::cust4::1077590,flight_cancellation,flight_delay,False,high,high,baggage_delayed_lost,,hard-negative-pair,pending-adjudication
1080625::cust9::1898956,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
1083113::cust2::1083114,staff_conduct_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1083494::cust2::1083489,forced_gate_check_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1084574::cust1::1084573,flight_delay,flight_cancellation,False,high,high,,,hard-negative-pair,pending-adjudication
1103764::cust2::1160337,other_acknowledgement_thanks,positive_feedback_praise,False,high,high,,,hard-negative-pair,pending-adjudication
1123476::cust0::1123476,flight_delay,flight_delay,True,high,high,,,agree,
1126899::cust2::1126898,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1134396::cust2::1134398,other_non_actionable,other_acknowledgement_thanks,False,high,high,,,unclassified,pending-adjudication
1141817::cust0::1141817,flight_delay,flight_delay,True,high,high,,,agree,
1149123::cust3::1149127,missed_connection_rebooking,flight_delay,False,high,high,flight_delay,,hard-negative-pair,pending-adjudication
1156595::cust1::1156594,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1164159::cust0::1164159,other_non_actionable,service_failure_complaint,False,low,high,,,unclassified,pending-adjudication
1174481::cust3::1174478,other_non_actionable,other_non_actionable,True,high,high,,,agree,
1174919::cust2::1174917,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
1187832::cust1::1187831,change_fee_dispute,general_dissatisfaction_venting,False,high,high,negative_feedback,,unclassified,pending-adjudication
1198578::cust0::1198578,other_acknowledgement_thanks,refund_request,False,high,high,,,unclassified,pending-adjudication
1203917::cust2::1203913,flight_status_inquiry,flight_status_inquiry,True,medium,high,service_failure_complaint,,agree,
1230473::cust0::1230473,service_failure_complaint,flight_status_inquiry,False,medium,high,,,unclassified,pending-adjudication
1231512::cust0::1231512,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
1236921::cust1::1236919,baggage_damaged,baggage_damaged,True,high,high,,,agree,
1242383::cust0::1242383,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
1244031::cust1::1244030,forced_gate_check_complaint,baggage_delayed_lost,False,high,high,,,hard-negative-pair,pending-adjudication
1271353::cust0::1271353,missed_connection_rebooking,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1277359::cust1::1277360,missed_connection_rebooking,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1280839::cust0::1280839,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
1280841::cust0::1280841,baggage_delayed_lost,baggage_delayed_lost,True,high,high,,,agree,
1287141::cust0::1287141,other_acknowledgement_thanks,other_non_actionable,False,high,high,,,unclassified,pending-adjudication
1289187::cust1::1289186,other_non_actionable,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1290563::cust0::1290563,other_non_actionable,other_non_actionable,True,high,high,,,agree,
1296923::cust7::2451826,change_fee_dispute,flight_delay,False,high,high,,,unclassified,pending-adjudication
13304::cust1::13302,staff_conduct_complaint,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1341081::cust0::1341081,forced_gate_check_complaint,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1345029::cust1::1345028,flight_cancellation,flight_cancellation,True,high,high,,,agree,
1349666::cust3::1349668,seat_upgrade_request,seat_assignment_change,False,high,high,,,hard-negative-pair,pending-adjudication
1354819::cust1::1354815,flight_delay,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1384752::cust3::1384755,other_non_actionable,general_dissatisfaction_venting,False,high,high,,,unclassified,pending-adjudication
1388241::cust2::1388239,other_non_actionable,seat_assignment_change,False,high,high,,,unclassified,pending-adjudication
1388241::cust3::2710210,seat_assignment_change,seat_assignment_change,True,high,high,,,agree,
1408573::cust0::1408573,flight_delay,flight_delay,True,high,high,,,agree,
1410011::cust0::1410011,staff_conduct_complaint,staff_conduct_complaint,True,high,high,,,agree,
1411094::cust1::1411093,flight_delay,flight_delay,True,high,high,,,agree,
1425841::cust0::1425841,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1429304::cust1::1429303,other_acknowledgement_thanks,other_acknowledgement_thanks,True,high,high,,,agree,
1438719::cust0::1438719,flight_cancellation,flight_delay,False,high,high,,,hard-negative-pair,pending-adjudication
1439893::cust0::1439893,positive_feedback_praise,positive_feedback_praise,True,high,high,,,agree,
144587::cust0::144587,change_fee_dispute,flight_status_inquiry,False,high,high,,,unclassified,pending-adjudication
1451976::cust0::1451976,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
1466479::cust2::1466481,general_dissatisfaction_venting,general_dissatisfaction_venting,True,high,high,,,agree,
